New ID,Assessment Started,Assessment Completed
26616317,6/26/2012,6/28/2012
26642862,5/11/2012,5/11/2012
26731894,10/22/2012,10/22/2012
26782858,11/28/2012,1/11/2013
26783771,3/1/2013,3/1/2013
26893798,10/3/2012,10/9/2012
26914513,3/4/2013,3/4/2013
26943726,11/12/2012,11/18/2012
26978280,2/20/2013,2/20/2013
27026973,9/27/2012,9/27/2012
27048769,9/17/2012,10/1/2012
27048769,2/27/2013,3/6/2013
27179021,10/25/2012,10/25/2012
27217302,5/24/2012,6/8/2012
27313394,1/11/2013,1/12/2013
27402723,12/13/2012,1/31/2013
27420553,9/3/2012,9/3/2012
27482258,10/2/2012,10/3/2012
27595398,7/17/2012,7/24/2012
27791351,7/5/2012,11/6/2012
27801249,12/10/2012,12/10/2012
27824100,10/10/2012,10/22/2012
28055566,12/20/2012,12/20/2012
28059886,6/8/2012,6/8/2012
28068720,7/4/2012,7/4/2012
28073626,4/24/2012,4/25/2012
28163266,11/28/2012,11/28/2012
28193641,3/20/2013,3/20/2013
28199285,5/25/2012,6/15/2012
28254421,12/20/2012,12/20/2012
28270025,10/11/2012,10/11/2012
28341154,1/28/2013,3/5/2013
28343295,5/21/2012,5/23/2012
28377872,10/19/2012,11/2/2012
28386654,5/14/2012,5/14/2012
28424085,2/23/2013,2/23/2013
28446547,7/9/2012,7/9/2012
28446547,2/26/2013,2/26/2013
28545105,9/3/2012,9/4/2012
28626685,12/24/2012,1/3/2013
28647815,6/20/2012,6/20/2012
28759566,4/2/2012,4/17/2012
28820843,5/18/2012,5/23/2012
28841420,2/5/2013,2/6/2013
28855641,5/30/2012,5/30/2012
28858794,4/24/2012,4/25/2012
28990861,9/13/2012,10/3/2012
29101797,8/7/2012,8/8/2012
29268776,8/15/2012,8/29/2012
29301658,6/6/2012,6/6/2012
29301658,10/29/2012,10/29/2012
29303954,7/12/2012,7/12/2012
29366490,9/11/2012,9/11/2012
29369206,3/14/2011,2/20/2013
29487788,8/2/2012,8/14/2012
29548895,8/23/2012,8/23/2012
29629289,2/5/2013,2/5/2013
29642082,4/30/2012,5/1/2012
29649371,11/6/2012,11/6/2012
29663924,10/26/2012,10/26/2012
29670292,11/28/2012,11/28/2012
29757754,4/13/2012,4/18/2012
29766758,1/10/2013,1/10/2013
29855386,2/25/2013,3/18/2013
29953614,11/22/2012,11/22/2012
29962469,6/11/2012,6/22/2012
29975691,8/20/2012,8/24/2012
29982161,5/24/2012,5/24/2012
30030513,9/25/2012,10/1/2012
30071383,3/30/2012,4/12/2012
30578905,11/27/2012,12/7/2012
30632720,11/22/2012,11/22/2012
30734684,12/19/2012,12/19/2012
30746298,4/27/2012,7/23/2012
30746945,12/20/2012,12/21/2012
30761359,12/12/2012,12/12/2012
30783659,1/30/2013,2/4/2013
30822697,2/26/2013,2/26/2013
30845744,6/12/2012,6/12/2012
30881796,4/12/2012,4/12/2012
30908913,3/26/2013,3/26/2013
31030991,7/27/2012,8/17/2012
31198777,3/12/2012,12/3/2012
31213641,8/21/2012,8/21/2012
31253784,11/9/2012,11/9/2012
31385551,9/6/2011,5/2/2012
31431700,12/14/2012,12/14/2012
31524437,4/10/2012,4/18/2012
31524437,3/14/2013,3/14/2013
31863529,3/15/2013,3/15/2013
31892696,7/12/2012,7/16/2012
31899404,8/9/2011,10/29/2012
31922507,12/7/2011,7/25/2012
31948144,9/26/2012,10/4/2012
31969133,4/24/2012,4/25/2012
31972570,4/10/2012,4/12/2012
31972570,8/1/2012,8/1/2012
31977716,11/26/2012,11/28/2012
32053759,6/18/2012,11/13/2012
32079541,2/21/2013,3/15/2013
32203482,9/12/2012,9/12/2012
32364687,6/29/2012,6/29/2012
32443707,11/12/2012,1/14/2013
32453940,11/29/2012,11/29/2012
32522783,1/25/2013,3/30/2013
32575374,3/13/2013,3/19/2013
32582852,12/24/2012,12/24/2012
32592361,5/16/2012,5/31/2012
32613578,4/20/2012,5/15/2012
32798048,9/4/2012,9/4/2012
32805663,2/13/2013,2/20/2013
32806067,10/3/2012,10/8/2012
32806067,11/26/2012,11/26/2012
32814238,9/10/2012,9/10/2012
32816982,10/3/2012,10/3/2012
32861481,5/2/2012,5/3/2012
32967940,5/22/2012,6/22/2012
32971556,6/11/2012,6/11/2012
33010618,8/20/2012,8/20/2012
33075751,4/11/2012,4/13/2012
33250229,11/12/2012,1/14/2013
33306516,5/28/2012,5/29/2012
33434078,7/20/2012,7/20/2012
33451709,7/10/2012,7/10/2012
33495542,5/1/2012,5/4/2012
33691470,2/15/2013,2/15/2013
33807068,10/31/2012,10/31/2012
33863965,9/3/2012,9/7/2012
33863965,12/11/2012,12/11/2012
33866750,3/7/2012,4/10/2012
33920640,4/27/2012,2/21/2013
33927801,7/31/2012,8/1/2012
33971560,8/9/2012,8/9/2012
34046646,10/11/2012,10/11/2012
34202592,5/24/2012,9/13/2012
34348782,5/9/2012,5/9/2012
34364221,6/1/2012,6/1/2012
34371978,11/20/2012,11/20/2012
34373283,8/8/2012,8/8/2012
34443964,12/12/2012,12/12/2012
34485297,12/7/2012,12/7/2012
34502870,5/16/2012,5/17/2012
34585437,5/10/2012,5/10/2012
34649992,4/23/2012,8/29/2012
34729882,4/5/2012,4/12/2012
34828809,6/18/2012,6/18/2012
34857669,9/25/2012,9/25/2012
34881023,7/18/2012,7/18/2012
34956406,6/28/2012,6/28/2012
34969073,1/25/2013,1/29/2013
34974085,3/13/2012,4/17/2012
35038260,5/21/2012,5/21/2012
35102296,4/23/2012,4/23/2012
35163428,5/24/2012,6/8/2012
35202143,4/19/2012,8/1/2012
35295101,2/5/2013,2/5/2013
35333405,4/13/2012,4/17/2012
35430921,12/16/2011,12/13/2012
35446873,5/30/2012,5/30/2012
35582289,2/6/2012,4/13/2012
35623410,5/10/2012,5/10/2012
35623410,12/13/2012,1/31/2013
35665225,7/2/2012,7/3/2012
35665888,6/14/2012,6/14/2012
35712414,10/19/2012,12/21/2012
35744421,4/2/2012,4/2/2012
35746653,11/2/2012,11/15/2012
35762480,11/29/2012,1/10/2013
35809573,7/11/2011,1/18/2013
35835524,8/17/2012,9/18/2012
35910502,8/24/2012,8/24/2012
35926563,8/31/2012,8/31/2012
35938896,3/6/2013,3/7/2013
35947927,10/24/2012,10/24/2012
35987136,9/6/2012,9/6/2012
36066711,7/4/2012,9/6/2012
36128222,3/11/2013,3/20/2013
36194416,11/14/2012,11/23/2012
36194416,2/5/2013,2/7/2013
36212393,10/4/2012,10/15/2012
36304134,11/12/2012,11/19/2012
36459343,8/20/2012,8/20/2012
36471452,4/23/2012,4/23/2012
36480302,1/24/2013,1/24/2013
36551222,7/10/2012,7/10/2012
36612540,8/20/2012,11/19/2012
36628150,9/5/2012,9/14/2012
36638309,6/14/2012,8/9/2012
36737673,1/7/2013,1/8/2013
36802667,5/18/2012,5/24/2012
36912392,2/12/2013,2/12/2013
36963558,9/7/2011,5/29/2012
36964657,7/27/2012,7/27/2012
37016944,10/2/2012,10/3/2012
37043732,3/26/2013,3/31/2013
37056388,11/29/2012,1/10/2013
37078062,7/13/2012,7/13/2012
37089074,11/27/2012,11/30/2012
37102481,7/9/2012,7/9/2012
37109918,10/1/2012,10/1/2012
37138218,7/30/2012,7/30/2012
37179509,7/12/2012,7/12/2012
37179509,11/29/2012,11/29/2012
37179509,3/21/2013,3/21/2013
37238145,11/5/2012,11/5/2012
37305242,4/3/2012,4/10/2012
37340533,11/14/2012,11/14/2012
37428860,7/6/2012,11/6/2012
37465385,3/1/2011,10/29/2012
37499238,2/14/2013,2/20/2013
37509242,11/29/2012,11/29/2012
37513440,8/23/2012,10/23/2012
37595804,4/4/2012,4/4/2012
37634038,5/9/2011,11/21/2012
37737292,4/19/2012,8/7/2012
37841244,2/27/2013,3/13/2013
37947662,10/12/2012,11/12/2012
37993104,4/23/2012,4/23/2012
38013625,9/28/2012,10/1/2012
38025317,2/7/2013,2/8/2013
38213723,10/8/2012,10/15/2012
38217365,5/22/2012,5/23/2012
38217365,3/13/2013,3/14/2013
38268079,11/29/2012,11/29/2012
38351431,7/2/2012,7/10/2012
38490558,7/5/2012,7/9/2012
38522144,10/26/2012,11/5/2012
38598999,8/6/2012,8/7/2012
38637243,11/19/2012,11/19/2012
38640111,5/10/2012,5/10/2012
38673460,10/11/2012,3/6/2013
