"New ID","Assessment Actual Start Date","Assessment Completed"
26805138,09/05/2013,08/30/2013
26914513,10/28/2013,01/13/2014
26926501,11/19/2013,01/17/2014
27114461,12/11/2013,01/27/2014
27150412,,01/13/2014
27176958,12/12/2013,02/03/2014
27283713,01/31/2014,03/14/2014
27329082,03/10/2014,03/18/2014
27383272,08/13/2013,08/29/2013
27542538,06/27/2013,08/30/2013
27561786,12/06/2013,02/12/2014
27635679,06/17/2013,08/23/2013
27638736,11/15/2013,01/22/2014
27685630,08/19/2013,09/16/2013
27849566,11/18/2013,01/08/2014
27993707,06/11/2013,07/30/2013
28060145,07/26/2013,09/12/2013
28087564,12/12/2013,02/14/2014
28088190,01/21/2014,03/26/2014
28478441,09/20/2013,11/15/2013
28498708,09/16/2013,09/29/2013
28514735,02/12/2014,03/05/2014
28626863,08/12/2013,10/13/2013
28628003,11/13/2013,12/10/2013
28767308,07/18/2013,10/07/2013
28773003,10/04/2013,12/09/2013
28774606,11/13/2013,01/20/2014
28838347,10/01/2013,12/03/2013
28840508,10/03/2013,10/14/2013
28847698,06/11/2013,10/18/2013
28847698,01/23/2014,03/27/2014
29055445,10/03/2013,12/13/2013
29268171,10/21/2013,01/13/2014
29460620,10/11/2013,11/20/2013
29509775,06/06/2013,08/05/2013
29629289,07/02/2013,07/11/2013
29663924,07/30/2013,09/23/2013
29691617,02/24/2014,03/27/2014
29739551,11/14/2013,01/07/2014
29805503,02/07/2014,03/27/2014
29878749,07/22/2013,10/04/2013
29898832,01/17/2014,03/20/2014
29918437,08/01/2013,11/04/2013
29951078,07/25/2013,07/25/2013
29975599,11/26/2013,01/30/2014
30215364,08/12/2013,09/02/2013
30256620,11/08/2013,01/16/2014
30381708,09/06/2013,11/08/2013
30419751,01/17/2014,03/05/2014
30501513,07/02/2013,08/08/2013
30588243,07/03/2013,09/10/2013
30610383,08/07/2013,10/11/2013
30659148,06/05/2013,10/31/2013
30746298,11/27/2013,01/21/2014
30822697,09/09/2013,10/31/2013
30899885,10/01/2013,11/18/2013
30908913,03/26/2013,08/23/2013
30971732,04/25/2013,08/20/2013
31253980,07/16/2013,08/30/2013
31302411,10/22/2013,01/13/2014
31303141,07/08/2013,11/14/2013
31386869,01/02/2014,02/12/2014
31824635,07/02/2013,10/29/2013
31927027,01/10/2014,01/27/2014
31948144,01/17/2014,03/05/2014
31972570,07/29/2013,08/16/2013
32031668,09/27/2013,11/01/2013
32070882,07/02/2013,08/08/2013
32114817,08/08/2013,10/31/2013
32297649,08/19/2013,09/06/2013
32317745,07/15/2013,07/23/2013
32616535,09/19/2013,09/26/2013
32649370,09/16/2013,01/02/2014
32716144,12/04/2013,02/10/2014
32840736,11/18/2013,01/23/2014
32863204,11/27/2013,01/16/2014
32909573,10/10/2013,11/01/2013
33037088,09/09/2013,11/11/2013
33120647,03/07/2014,03/28/2014
33183054,10/24/2013,11/21/2013
33246562,08/02/2013,08/20/2013
