"New ID","Placement start","Placement type","Legal status"
22340473,05/30/2014,"U6","L1"
22483009,12/04/2012,"Q2","C1"
22576705,06/02/2015,"H5","V2"
22606995,02/06/2014,"H5","V2"
22661966,04/24/2012,"Q1","V2"
22796482,03/03/2014,"R2","C1"
22842375,06/11/2014,"U6","L1"
22877654,08/06/2012,"H5","V2"
22917623,08/15/2013,"P2","V2"
22924378,03/12/2014,"Q2","L1"
22939242,10/11/2013,"Q2","L1"
23028310,01/14/2015,"U6","V2"
23051478,06/07/2013,"H5","V2"
23228478,06/25/2012,"Q2","L1"
23245683,09/30/2013,"Q2","V2"
23341860,08/08/2014,"U3","V2"
23350290,01/16/2015,"U6","V2"
23591647,01/23/2014,"Q2","L1"
23729411,04/14/2013,"Q2","L1"
23748229,05/15/2014,"H5","V2"
23897744,08/15/2016,"U6","V2"
23947511,08/11/2014,"U3","C1"
23999963,06/15/2015,"P1","J1"
24028992,07/08/2015,"R2","C1"
24579132,01/16/2015,"H5","V2"
24582472,09/03/2014,"U6","C1"
24582932,03/03/2015,"K2","C2"
24586379,03/30/2016,"K1","J1"
24586379,03/30/2017,"K1","J1"
24929385,03/29/2017,"U6","V2"
24936352,05/29/2015,"K1","J1"
24985128,05/23/2012,"R2","L1"
25084745,07/12/2013,"Q2","L1"
25183818,08/06/2014,"H5","V2"
25194683,03/14/2016,"H5","V2"
25194683,08/19/2016,"H5","V2"
25386833,03/20/2015,"U6","V2"
25512508,12/17/2013,"R3","V2"
25512667,03/19/2014,"K1","J1"
25558061,01/20/2013,"Q2","L1"
25735980,10/09/2014,"H5","V2"
25794628,06/09/2016,"U6","V2"
25809574,03/11/2015,"H5","V2"
25965657,11/02/2016,"R2","C1"
26223279,06/12/2014,"U6","V2"
26225182,12/17/2016,"H5","J1"
26418531,07/05/2013,"Q2","L1"
26579089,02/28/2014,"Q2","V2"
26590349,07/31/2013,"Q2","V2"
26617534,07/05/2016,"K2","V2"
26656714,07/17/2012,"R2","L1"
26782858,12/04/2013,"Q2","C1"
27176958,06/29/2014,"U6","L1"
27313394,07/22/2016,"U6","V2"
27638736,11/28/2013,"Q2","L2"
27796449,06/20/2013,"R5","J1"
27923519,11/02/2015,"U6","V2"
28001311,09/22/2016,"P1","J1"
28001311,02/06/2017,"H5","V2"
28088190,07/11/2016,"U6","V2"
28199285,06/08/2012,"Q2","L1"
28343295,05/15/2012,"Q2","V2"
28498708,05/29/2014,"U6","C1"
28514735,03/24/2014,"H5","V2"
28566300,10/08/2015,"R2","L1"
28654302,11/16/2012,"Q1","V2"
28654302,12/24/2013,"Q2","C1"
28657805,08/11/2014,"U6","L1"
28716930,05/08/2015,"U6","V2"
28716930,08/19/2015,"U6","L1"
28768500,11/27/2012,"Q2","V2"
28990861,09/13/2015,"U6","L1"
28994056,09/10/2015,"U6","L1"
29012015,04/14/2015,"U6","V2"
29266917,06/04/2012,"Q2","L1"
29266917,04/24/2013,"Q2","L1"
29279001,08/26/2014,"U6","V2"
29539027,08/26/2015,"H5","C1"
29548895,01/07/2013,"Q2","V2"
29659884,11/17/2016,"U6","C1"
29663058,10/18/2016,"U6","V2"
29670292,12/04/2013,"Q2","C1"
29757940,10/27/2016,"U6","V2"
29769512,12/11/2015,"U6","L1"
29773967,09/17/2014,"U6","V2"
29817998,11/11/2016,"U6","C1"
29953614,11/08/2012,"Q2","L1"
30293239,10/17/2012,"Q2","C1"
30431501,11/15/2013,"H5","V2"
30514826,11/17/2016,"U6","C1"
30822697,09/13/2013,"Q2","V2"
30822697,08/27/2014,"H5","V2"
30867448,03/14/2014,"Q2","L1"
30867659,06/11/2014,"U6","L1"
31054940,06/15/2016,"U3","V2"
31101641,02/27/2015,"U6","V2"
31339776,05/11/2012,"R2","C1"
31339776,05/24/2013,"Q2","C1"
31658578,10/27/2016,"H5","V2"
31811389,07/14/2016,"U6","V2"
31927027,02/05/2014,"Q2","C1"
32039419,09/30/2016,"U6","L1"
32039419,11/04/2016,"U6","V2"
32248759,01/28/2016,"U6","C1"
32262028,05/09/2016,"U6","V2"
32317745,07/18/2013,"H5","V2"
32348943,12/23/2014,"H5","V2"
32421340,04/24/2014,"U6","L1"
32487478,12/07/2012,"K2","V2"
32694659,02/14/2013,"Q2","C1"
32726834,09/29/2016,"U6","V2"
32731614,02/09/2017,"U3","V2"
32771204,09/10/2012,"M3","V2"
33027443,06/22/2015,"H5","V2"
33149463,06/12/2015,"U6","V2"
33149463,03/08/2016,"H5","V2"
33149463,11/14/2016,"H5","V2"
33149463,02/21/2017,"H5","V2"
33270510,03/31/2015,"H5","V2"
33270510,03/07/2016,"H5","V2"
33333339,10/14/2016,"R2","C1"
33363668,09/15/2016,"U6","V2"
33364879,04/30/2014,"U3","V2"
33919680,07/02/2014,"U6","V2"
33941092,01/31/2014,"Q2","L2"
33965023,05/24/2012,"Q2","C1"
34046646,07/29/2013,"Q1","V2"
34154998,12/12/2013,"Q2","V2"
34208567,04/29/2013,"Q1","V2"
34275629,08/13/2015,"U6","L1"
34361390,01/08/2016,"U6","L1"
34361390,11/14/2016,"U6","V2"
34386740,06/14/2016,"H5","V2"
34432329,01/31/2013,"H5","V2"
34485297,02/07/2013,"R2","C1"
34488092,04/27/2012,"Q2","C1"
34653207,07/11/2013,"Q2","L1"
34696334,07/03/2015,"R5","J1"
34851963,04/13/2015,"H5","V2"
34860281,01/25/2013,"Q2","L1"
34860281,02/10/2016,"U6","L1"
35022391,08/05/2016,"K1","J1"
35038260,07/12/2012,"Q2","C1"
35226435,01/29/2014,"Q2","V2"
35350561,10/17/2012,"Q2","C1"
35365109,06/28/2016,"H5","V2"
35446873,11/13/2012,"Q2","C1"
35535338,11/18/2016,"U6","L1"
35535338,02/03/2017,"H5","V2"
35712414,10/11/2013,"Q2","L1"
35753451,12/09/2015,"U6","C1"
35770048,04/11/2012,"Q2","V2"
35791466,06/05/2016,"U6","L1"
35822866,04/22/2013,"Q2","V2"
35840679,02/24/2017,"K1","J1"
35941391,10/15/2014,"U6","L1"
35998819,04/19/2013,"H5","V2"
36020671,11/07/2013,"H5","V2"
36020671,01/16/2014,"H5","V2"
36210022,04/30/2014,"U3","V2"
36390836,05/31/2014,"K1","J1"
36407241,05/04/2013,"Q2","V2"
36716686,02/28/2013,"H5","V2"
36912392,09/09/2013,"Q1","V2"
36941241,02/05/2014,"Q2","V2"
36953134,01/06/2017,"U6","C1"
37016944,01/06/2013,"Q2","L1"
37016944,04/01/2015,"U6","V2"
37043732,10/02/2013,"R5","J1"
37138218,10/21/2014,"U6","V2"
37408826,10/31/2013,"H5","V2"
37465385,12/19/2013,"Q2","C1"
37504916,08/28/2015,"U6","V2"
