New ID,Age at referral,Gender,Ethnicity,Ward,Referral date
1468726,8,M,Black or Black British,Seven Sisters,11/11/2016
1469669,5,F,White,St Ann's,11/04/2014
1481084,3,F,Black or Black British,Bounds Green,06/25/2014
1483390,2,F,White,Bounds Green,05/20/2016
1491332,3,M,,Seven Sisters,09/22/2017
1514290,4,F,White,Bounds Green,12/08/2015
1519952,0,F,White,Tottenham Green,05/30/2017
1519952,1,F,White,Tottenham Green,09/25/2017
1524296,11,M,,Tottenham Hale,12/15/2015
1524296,13,M,,Tottenham Hale,06/23/2017
1545192,6,M,White,Alexandra,02/24/2017
1549322,0,M,White,Tottenham Hale,10/21/2016
1587639,3,F,White,Woodside,06/24/2016
1591769,12,M,Black or Black British,Tottenham Green,02/25/2016
1592555,1,F,White,Tottenham Hale,02/11/2016
1598327,10,Male,White,Fortis Green,06/01/2012
1602746,14,Female,White,Muswell Hill,03/15/2013
1602746,17,F,White,Muswell Hill,06/03/2016
1608407,5,F,Black or Black British,St Ann's,10/24/2014
1608407,5,F,Black or Black British,St Ann's,10/24/2014
1613054,0,F,,,10/23/2017
1617129,16,Female,Other Ethnic Group,Bounds Green,11/23/2012
1626788,7,F,,Hornsey,03/24/2016
1628455,4,M,White,,03/04/2015
1628455,5,M,White,,05/23/2016
1649366,12,F,Asian or Asian British,Bounds Green,01/11/2016
1649366,13,F,Asian or Asian British,Bounds Green,05/31/2017
1658889,16,Male,Black / African / Caribbean / Black British,Not Stated,07/02/2012
1658889,20,M,Black or Black British,,08/30/2016
1669855,15,M,Black or Black British,Woodside,01/02/2015
1669855,15,M,Black or Black British,Woodside,08/11/2015
1673284,6,M,Black or Black British,Tottenham Hale,04/13/2016
1674938,8,F,Mixed,Tottenham Hale,03/23/2015
1679891,0,F,White,,11/27/2015
1679891,1,F,White,,05/06/2016
1681449,5,F,Asian or Asian British,Harringay,09/15/2016
1684849,6,M,Black or Black British,,10/09/2014
1684849,7,M,Black or Black British,,05/15/2015
1684849,9,M,Black or Black British,,03/27/2017
1692888,9,F,Black or Black British,West Green,04/15/2016
1693838,2,F,Black or Black British,West Green,11/19/2015
1708879,4,F,Asian or Asian British,,11/17/2014
1712920,3,M,White,,04/15/2016
1712920,4,M,White,,05/12/2016
1712920,5,M,White,,04/28/2017
1722254,5,M,White,Fortis Green,04/05/2017
1741458,5,M,Chinese or other ethnic group,Fortis Green,02/23/2016
1744440,11,Female,Mixed / multiple,Northumberland Park,09/19/2012
1744440,15,F,Mixed,Northumberland Park,02/22/2017
1778394,9,F,White,Seven Sisters,06/02/2015
1778553,2,Female,Black / African / Caribbean / Black British,Tottenham Hale,11/07/2012
1780122,2,U,Not stated,Bruce Grove,01/13/2016
1780122,2,U,Not stated,Bruce Grove,01/13/2016
1785278,10,M,Black or Black British,White Hart Lane,04/11/2016
1799668,13,M,Black or Black British,Tottenham Green,07/03/2014
1799880,14,Female,White,Alexandra,01/08/2013
1799880,15,F,White,Alexandra,09/30/2014
1816732,17,Female,Black / African / Caribbean / Black British,,04/02/2012
1823342,0,I,Not stated,Woodside,04/04/2017
1832186,1,M,Black or Black British,Bruce Grove,02/02/2017
