"New ID","Started Date","Assessment End Date"
13875038,07/21/2014,08/18/2014
13921675,03/19/2015,03/19/2015
14010194,01/13/2014,04/02/2014
14028367,07/04/2014,07/10/2014
14053516,06/18/2014,06/19/2014
14053516,12/27/2013,04/10/2014
14119034,03/30/2015,01/14/2015
14119034,11/19/2014,01/29/2015
14210123,10/16/2014,10/28/2014
14237512,10/08/2014,10/08/2014
14263418,06/25/2014,06/26/2014
14328383,06/12/2014,06/24/2014
14385925,07/28/2014,08/01/2014
14466540,07/04/2014,08/07/2014
14471145,08/29/2014,10/26/2014
14554587,01/16/2015,03/12/2015
14629310,12/18/2014,02/06/2015
14635222,05/01/2014,06/12/2014
14655656,10/20/2014,12/09/2014
14730486,08/21/2014,09/08/2014
14732366,03/18/2014,05/12/2014
14757062,06/13/2014,08/05/2014
14782325,04/11/2014,04/11/2014
14884779,01/08/2015,02/26/2015
14887042,08/05/2014,09/11/2014
14944631,11/12/2014,12/18/2014
14989329,07/02/2014,08/01/2014
15001043,01/21/2015,02/25/2015
15003143,08/04/2014,08/05/2014
15017724,03/28/2014,04/10/2014
15076104,11/05/2014,12/08/2014
15174018,03/28/2014,06/05/2014
15174620,03/24/2015,03/24/2015
15189800,07/22/2014,08/18/2014
15191805,06/06/2014,06/09/2014
15224942,06/26/2014,07/25/2014
15238065,11/25/2014,02/16/2015
15257696,11/07/2014,12/19/2014
15261613,08/08/2014,08/27/2014
15307146,08/08/2014,09/22/2014
15360648,04/01/2014,05/20/2014
15377936,11/19/2014,12/19/2014
15407237,01/13/2015,01/13/2015
15407237,06/13/2014,06/19/2014
15414241,06/27/2014,06/30/2014
15528115,03/25/2014,08/15/2014
15545708,08/13/2014,09/01/2014
15576717,10/14/2014,12/19/2014
15624934,02/16/2015,02/18/2015
15625087,09/29/2014,10/08/2014
15705419,10/15/2014,11/10/2014
15716873,06/12/2014,06/25/2014
15716873,08/28/2014,09/19/2014
15750671,05/01/2014,05/12/2014
15790086,03/11/2014,04/01/2014
15847245,05/07/2014,05/15/2014
15926439,05/22/2014,06/06/2014
15933648,10/29/2014,11/05/2014
15954992,02/23/2015,
16027350,02/24/2014,04/10/2014
16027350,03/31/2014,04/15/2014
16088742,03/31/2014,04/02/2014
16097652,09/19/2013,12/01/2014
16097720,07/02/2014,08/29/2014
16104160,09/25/2014,10/28/2014
16351187,07/22/2014,09/10/2014
16352617,05/23/2014,06/30/2014
16463434,03/04/2014,05/01/2014
16557675,03/31/2015,03/31/2015
16594285,03/31/2014,04/23/2014
16594285,10/28/2014,11/03/2014
16618453,10/29/2014,11/15/2014
16644276,12/30/2014,01/29/2015
16682881,11/17/2014,11/21/2014
16777509,10/20/2014,11/27/2014
16827608,01/19/2015,01/21/2015
16844782,11/04/2014,11/27/2014
16934114,03/06/2015,
16981420,02/27/2014,04/15/2014
16982820,06/27/2014,08/22/2014
16986688,03/13/2014,04/03/2014
16999948,07/01/2014,07/18/2014
17033463,09/25/2014,09/26/2014
17156028,04/29/2014,06/12/2014
17177584,02/14/2014,04/04/2014
17182020,05/16/2014,05/19/2014
17213107,06/17/2014,07/24/2014
17294866,12/08/2014,12/30/2014
17417504,03/30/2015,
17417504,03/28/2014,05/08/2014
17437551,05/29/2014,06/03/2014
17458493,10/24/2014,12/18/2014
17508094,10/27/2014,11/25/2014
17548176,03/14/2014,05/19/2014
17581294,12/02/2013,05/09/2014
17608651,12/23/2014,12/30/2014
17618376,10/21/2014,11/13/2014
17651831,03/24/2014,05/19/2014
17676271,04/10/2014,05/22/2014
17685651,03/25/2014,05/15/2014
17699355,11/25/2014,01/11/2015
17733662,06/04/2014,06/17/2014
17768532,01/27/2015,02/02/2015
17914336,07/28/2014,08/01/2014
17960225,12/08/2014,01/09/2015
18063358,08/08/2014,08/27/2014
18084266,12/09/2014,01/15/2015
18160331,10/16/2014,10/31/2014
18185083,07/17/2014,08/14/2014
18201350,11/04/2014,11/05/2014
18202704,05/02/2014,11/02/2014
18281997,01/06/2015,01/23/2015
18298514,03/12/2015,03/18/2015
18329121,02/12/2015,
18341203,03/02/2015,
18350026,10/27/2014,11/26/2014
18362787,05/12/2014,06/26/2014
18392070,06/13/2014,06/25/2014
18403323,11/11/2014,12/22/2014
18405125,03/28/2014,05/02/2014
18441148,06/12/2014,07/09/2014
18488216,06/20/2014,07/31/2014
18608552,03/10/2015,03/09/2015
18608552,03/10/2015,04/16/2014
18687180,01/09/2015,01/22/2015
18691422,12/09/2014,12/17/2014
18732774,11/14/2014,11/24/2014
18764579,10/27/2014,11/28/2014
18789072,03/02/2015,
18789072,03/07/2014,04/29/2014
18908107,06/13/2014,07/07/2014
18918480,04/02/2014,04/07/2014
18987617,05/21/2014,05/29/2014
19020675,05/08/2014,06/25/2014
19069107,07/17/2014,07/24/2014
19088782,02/28/2014,04/25/2014
19227197,12/02/2013,05/22/2014
19237013,10/27/2014,12/10/2014
19244680,07/03/2014,09/02/2014
19274909,03/19/2015,
19303061,11/04/2014,12/04/2014
19320772,11/11/2014,11/27/2014
19336130,04/23/2014,04/24/2014
19431186,01/28/2015,01/29/2015
19464164,08/06/2014,09/02/2014
19479036,05/30/2014,07/07/2014
19520542,02/16/2015,02/24/2015
19534114,07/25/2014,09/15/2014
19560636,03/03/2015,
19560636,05/02/2014,11/02/2014
19561230,10/08/2014,01/05/2015
19587895,08/13/2014,09/04/2014
19740505,02/27/2014,04/28/2014
19823963,05/01/2014,06/11/2014
19872735,05/13/2014,06/05/2014
19872735,10/03/2014,10/13/2014
19892182,11/21/2014,01/23/2015
19894067,10/16/2014,10/28/2014
19894067,06/13/2014,07/24/2014
19929228,04/17/2014,05/08/2014
20002082,03/23/2015,
20004943,11/25/2014,01/06/2015
20149320,05/23/2014,07/02/2014
20295236,03/31/2014,04/11/2014
20324707,06/24/2014,06/25/2014
20369237,02/27/2015,02/27/2015
20441606,12/29/2014,02/12/2015
20444560,03/04/2015,03/04/2015
20447943,01/08/2015,01/21/2015
20492120,11/25/2014,02/16/2015
20504316,12/10/2013,04/16/2014
20607438,10/20/2014,11/26/2014
20620848,11/14/2014,11/24/2014
20646419,12/22/2014,01/27/2015
20651499,08/07/2014,08/11/2014
20660485,07/03/2014,07/04/2014
20661268,03/31/2014,04/09/2014
20662909,06/13/2014,07/25/2014
20664789,01/14/2015,01/15/2015
20692024,10/29/2014,12/03/2014
20710184,06/09/2014,07/01/2014
20710184,02/02/2015,02/04/2015
20710184,09/16/2014,09/17/2014
20713221,02/24/2015,02/25/2015
20745552,07/02/2014,07/22/2014
20745552,03/11/2015,
20768953,10/14/2014,11/12/2014
20812116,12/24/2014,01/02/2015
20812116,03/25/2015,
20852521,01/12/2015,03/19/2015
20880145,12/08/2014,01/13/2015
20933441,08/18/2014,09/09/2014
21001792,02/07/2014,04/09/2014
21094603,10/21/2014,11/11/2014
21110792,09/18/2014,09/22/2014
21136932,04/10/2014,04/24/2014
21143210,11/19/2014,01/21/2015
21143210,03/30/2015,01/14/2015
21171172,08/18/2014,09/09/2014
21181245,07/07/2014,08/21/2014
21198527,11/26/2013,04/11/2014
21227753,08/27/2014,08/28/2014
21227753,06/03/2014,06/25/2014
21228313,03/25/2014,05/15/2014
21267552,11/26/2014,01/28/2015
21288764,12/15/2014,01/09/2015
21394455,11/06/2014,12/22/2014
21403123,03/09/2015,03/30/2015
21412012,06/03/2014,06/25/2014
21415940,09/30/2014,10/05/2014
21472796,07/02/2014,07/24/2014
21494735,10/27/2014,12/03/2014
21531956,02/12/2015,02/13/2015
21563873,03/25/2015,03/25/2015
21581069,05/29/2014,06/05/2014
21601039,03/31/2014,06/03/2014
21648726,06/02/2014,06/29/2014
21661168,09/22/2014,12/03/2014
21693970,03/19/2014,04/08/2014
21735064,11/14/2014,11/24/2014
21776522,02/20/2015,02/20/2015
21844948,05/23/2014,06/16/2014
21885822,01/19/2015,03/02/2015
21909910,03/05/2015,03/05/2015
21983235,01/22/2014,04/29/2014
22026618,05/13/2014,07/01/2014
22029804,03/23/2015,03/23/2015
22030031,05/01/2014,06/17/2014
22067535,03/17/2015,
22071066,10/20/2014,11/13/2014
22077714,05/07/2014,10/08/2014
22091364,01/08/2015,01/11/2015
22095491,02/16/2015,02/23/2015
22137872,03/24/2014,05/16/2014
22256762,03/18/2015,03/18/2015
22264143,07/21/2014,09/10/2014
22392484,09/19/2014,10/16/2014
22392484,03/27/2015,04/01/2015
22397990,05/22/2014,06/06/2014
22424835,10/29/2014,12/12/2014
22442358,11/27/2014,01/19/2015
22460747,07/28/2014,08/01/2014
22484162,12/22/2014,12/29/2014
22484754,09/18/2014,10/27/2014
22484754,03/26/2014,04/03/2014
22500322,05/19/2014,07/07/2014
22535751,07/11/2014,08/05/2014
22638515,10/03/2014,11/08/2014
22685424,05/21/2014,05/23/2014
22790943,11/24/2014,01/13/2015
22798054,03/11/2015,
22819991,05/21/2014,10/27/2014
22842375,06/18/2014,06/23/2014
22991807,03/03/2015,03/12/2015
23028310,02/06/2015,02/09/2015
